epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3594.68,0.70999,0.34084,0.91392,0.98959,0.9696,0.99415,0.77884,0.87461,0.36576,0.93585,0.000990365,0.000990365,0.000990365
43,3680.47,0.70319,0.33619,0.91389,0.997,0.99849,0.99499,0.78323,0.88786,0.34038,0.94157,0.000973861,0.000973861,0.000973861
44,3766.51,0.69948,0.33572,0.91383,0.9899,0.97997,0.99473,0.77932,0.90234,0.36396,0.93842,0.000957358,0.000957358,0.000957358
45,3852.45,0.69749,0.33234,0.91126,0.99003,0.99213,0.99496,0.785,0.86694,0.34061,0.93139,0.000940855,0.000940855,0.000940855
46,3938.27,0.70675,0.33825,0.91583,0.99171,0.98684,0.99498,0.78796,0.87237,0.35153,0.92836,0.000924352,0.000924352,0.000924352
47,4024.54,0.70554,0.33389,0.91459,0.99417,0.99778,0.99496,0.77976,0.89446,0.34691,0.9445,0.000907848,0.000907848,0.000907848
48,4110.25,0.69137,0.32282,0.91405,0.99259,0.97938,0.99492,0.78765,0.86861,0.34711,0.93068,0.000891345,0.000891345,0.000891345
49,4196.1,0.69887,0.32448,0.91506,0.99153,0.99383,0.99499,0.78369,0.87388,0.33151,0.93571,0.000874842,0.000874842,0.000874842
50,4283.59,0.70183,0.32458,0.91147,0.99792,0.9968,0.99494,0.78726,0.89723,0.34029,0.94491,0.000858338,0.000858338,0.000858338
51,4369.95,0.683,0.32158,0.9087,0.99734,0.98216,0.99496,0.77948,0.89631,0.34605,0.94219,0.000841835,0.000841835,0.000841835
52,4455.62,0.68607,0.32233,0.91278,0.98756,0.98781,0.99465,0.78495,0.87986,0.34891,0.92755,0.000825332,0.000825332,0.000825332
53,4541.83,0.68441,0.31685,0.90946,0.99619,0.99672,0.99496,0.77997,0.89476,0.33607,0.93892,0.000808828,0.000808828,0.000808828
54,4628.28,0.67928,0.32095,0.91437,0.99878,0.99707,0.995,0.7891,0.86401,0.33054,0.92506,0.000792325,0.000792325,0.000792325
55,4714.33,0.69008,0.32096,0.91309,0.99922,0.997,0.995,0.78321,0.87675,0.32371,0.92626,0.000775822,0.000775822,0.000775822
56,4800.08,0.68466,0.31446,0.90299,0.99818,0.99671,0.995,0.78815,0.86147,0.32549,0.92839,0.000759318,0.000759318,0.000759318
57,4885.87,0.67727,0.31407,0.90573,0.99713,0.99766,0.99487,0.78139,0.88384,0.32493,0.93113,0.000742815,0.000742815,0.000742815
58,4972.32,0.66579,0.30638,0.90357,0.99745,0.99767,0.995,0.78479,0.85802,0.31721,0.92041,0.000726312,0.000726312,0.000726312
59,5058.15,0.67324,0.30836,0.90592,0.99924,0.997,0.995,0.78527,0.85769,0.32478,0.92531,0.000709809,0.000709809,0.000709809
60,5144.55,0.67289,0.31149,0.90333,0.98311,0.97251,0.99458,0.7905,0.84052,0.33929,0.91527,0.000693305,0.000693305,0.000693305
